Sludge Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
165;135;8.8;8.8;8.9;8.9;8.9;8.9;9.0;9.0;0.6;0.3;-0.3;-0.6
170;130;9.2;9.2;9.2;9.3;9.3;9.3;9.4;9.4;0.6;0.3;-0.3;-0.6
175;125;9.6;9.6;9.6;9.7;9.7;9.7;9.8;9.8;0.6;0.3;-0.3;-0.6
180;120;10.0;10.0;10.0;10.1;10.1;10.1;10.1;10.2;0.6;0.3;-0.3;-0.6
185;115;10.4;10.4;10.4;10.5;10.5;10.5;10.5;10.6;0.6;0.3;-0.3;-0.6
190;110;10.8;10.8;10.8;10.9;10.9;10.9;10.9;11.0;0.6;0.3;-0.3;-0.6
195;105;11.2;11.2;11.2;11.3;11.3;11.3;11.3;11.4;0.6;0.3;-0.3;-0.6
200;100;11.6;11.6;11.6;11.7;11.7;11.7;11.7;11.8;0.6;0.3;-0.3;-0.6
205;95;11.9;12.0;12.0;12.1;12.1;12.1;12.1;12.2;0.6;0.3;-0.3;-0.6
210;90;12.3;12.4;12.4;12.4;12.5;12.5;12.5;12.6;0.6;0.3;-0.3;-0.6
215;85;12.7;12.8;12.8;12.8;12.9;12.9;12.9;13.0;0.4;0.3;-0.3;-0.6
220;80;13.1;13.2;13.2;13.2;13.3;13.3;13.3;13.3;0.2;0.2;-0.3;-0.6
225;75;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;-0.1;-0.4
230;70;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;-0.1
235;65;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
240;60;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
245;55;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
250;50;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
255;45;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
260;40;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
265;35;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
270;30;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
275;25;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
280;20;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
285;15;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
290;10;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
295;5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
300;0;13.5;13.5;13.5;13.5;13.5;13.5;13.5;13.5;0.0;0.0;0.0;0.0
