Waste Oil Tanc
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
270;171;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
275;166;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
280;161;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
285;156;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
290;151;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
295;146;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
300;141;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
305;136;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
310;131;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
315;126;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
320;121;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
325;116;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
330;111;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
335;106;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
340;101;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
345;96;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
350;91;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
355;86;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
360;81;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
365;76;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
370;71;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
375;66;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
380;61;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
385;56;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
390;51;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
395;46;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
400;41;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
405;36;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
410;31;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
415;26;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
420;21;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
425;16;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
430;11;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
435;6;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
440;1;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
441;0;23.5;23.5;23.5;23.5;23.5;23.5;23.5;23.5;0.0;0.0;0.0;0.0
