HFO_SERV_1
REMOTE Height (cm);Height (m);VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
Cm;M;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
130;1.41;19.2;19.4;19.5;19.5;19.6;19.7;19.8;19.9;1.7;0.8;-0.8;-1.6
135;1.46;19.9;20.1;20.2;20.3;20.4;20.4;20.5;20.6;1.7;0.8;-0.8;-1.6
140;1.51;20.7;20.8;20.9;21.0;21.1;21.2;21.3;21.4;1.7;0.8;-0.8;-1.6
145;1.56;21.4;21.6;21.7;21.7;21.8;21.9;22.0;22.1;1.7;0.8;-0.8;-1.6
150;1.61;22.2;22.3;22.4;22.5;22.6;22.7;22.7;22.8;1.7;0.8;-0.8;-1.6
155;1.66;22.9;23.1;23.1;23.2;23.3;23.4;23.5;23.6;1.7;0.8;-0.8;-1.6
160;1.71;23.6;23.8;23.9;24.0;24.1;24.2;24.2;24.3;1.7;0.9;-0.8;-1.7
165;1.76;24.4;24.6;24.6;24.7;24.8;24.9;25.0;25.1;1.7;0.9;-0.8;-1.7
170;1.81;25.1;25.3;25.4;25.5;25.6;25.6;25.7;25.8;1.7;0.9;-0.8;-1.7
175;1.86;25.9;26.1;26.1;26.2;26.3;26.4;26.5;26.6;1.8;0.9;-0.8;-1.7
180;1.91;26.7;26.8;26.9;27.0;27.1;27.2;27.2;27.3;1.8;0.9;-0.9;-1.7
185;1.96;27.4;27.6;27.7;27.7;27.8;27.9;28.0;28.1;1.8;0.9;-0.9;-1.7
190;2.01;28.2;28.3;28.4;28.5;28.6;28.7;28.8;28.8;1.8;0.9;-0.9;-1.7
195;2.06;28.9;29.1;29.2;29.3;29.3;29.4;29.5;29.6;1.8;0.9;-0.9;-1.7
200;2.11;29.7;29.9;29.9;30.0;30.1;30.2;30.3;30.4;1.8;0.9;-0.9;-1.7
205;2.16;30.4;30.6;30.7;30.8;30.9;31.0;31.0;31.1;1.8;0.9;-0.9;-1.7
210;2.21;31.2;31.4;31.5;31.5;31.6;31.7;31.8;31.9;1.8;0.9;-0.9;-1.7
215;2.26;32.0;32.1;32.2;32.3;32.4;32.5;32.6;32.7;1.8;0.9;-0.9;-1.7
220;2.31;32.7;32.9;33.0;33.1;33.2;33.2;33.3;33.4;1.8;0.9;-0.9;-1.7
225;2.36;33.5;33.7;33.8;33.8;33.9;34.0;34.1;34.2;1.8;0.9;-0.9;-1.7
230;2.41;34.3;34.4;34.5;34.6;34.7;34.8;34.9;35.0;1.7;0.9;-0.9;-1.7
235;2.46;35.0;35.2;35.3;35.4;35.5;35.5;35.6;35.7;1.5;0.9;-0.9;-1.7
240;2.51;35.8;36.0;36.1;36.1;36.2;36.3;36.4;36.5;1.1;0.9;-0.9;-1.7
245;2.56;36.6;36.7;36.8;36.9;37.0;37.1;37.2;37.3;0.6;0.5;-0.9;-1.7
250;2.61;37.3;37.5;37.5;37.6;37.7;37.7;37.7;37.7;0.0;0.0;-0.7;-1.6
255;2.66;37.7;37.7;37.7;37.7;37.7;37.7;37.7;37.7;0.0;0.0;-0.2;-0.9
