N2 Cofferdam
SND;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S=1;HC.S=2
405;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
410;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
415;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
420;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
425;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
430;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
435;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
440;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
445;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
450;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
455;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
460;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
465;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
470;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
475;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
480;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
485;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
488;64.4;64.4;64.4;64.4;64.4;64.4;64.4;64.4;0.0;0.0;0.0;0.0
