Bilge Tank
SND;Ullage;VTr=-6;VTr=-4;VTr=-3;VTr=-2;VTr=-1;VTr=0;VTr=1;VTr=2;HC.P2;HC.P1;HC.S-1;HC.S-2
cm;cm;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3;m3
425;50;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
430;45;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
435;40;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
440;35;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
445;30;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
450;25;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
455;20;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
460;15;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
465;10;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
470;5;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
475;0;53.2;53.2;53.2;53.2;53.2;53.2;53.2;53.2;0.0;0.0;0.0;0.0
